City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Koumac,NC,75.63,clear sky,-20.5667,164.2833,Le Monitel
374,Ransang,PH,86.36,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
380,Umm Lajj,SA,83.7,scattered clouds,25.0213,37.2685,Moon light Furnished Units
382,Almunecar,ES,83.88,few clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
383,Banjar,ID,80.46,clear sky,-8.19,114.9675,The Hamsa Resort
385,Haimen,CN,87.89,clear sky,23.1935,116.6142,Jinghao Business Hotel
387,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
393,Alyangula,AU,78.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
395,Srikakulam,IN,82.58,overcast clouds,18.3,83.9,Sriram residency
396,Seoul,KR,93.61,broken clouds,37.5683,126.9778,롯데호텔 서울
398,Honiara,SB,84.07,broken clouds,-9.4333,159.95,Heritage Park Hotel
399,Phanom Sarakham,TH,84.09,overcast clouds,13.7479,101.3553,SC Resort
402,Liuzhou,CN,86.92,scattered clouds,24.3126,109.3892,Linjiang Inn
410,Mlonggo,ID,84.09,broken clouds,-6.5333,110.7,Asia Metal Art
416,Aden,YE,84.25,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
423,Hun,LY,75.09,clear sky,29.1268,15.9477,Alrwasi Hotel
424,Itaituba,BR,78.98,overcast clouds,-4.2761,-55.9836,Hotel Campos
426,Arlit,NE,88.59,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
430,Ulaangom,MN,80.8,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
433,Erzin,TR,79.32,scattered clouds,36.9559,36.2,Artemis Otel
436,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
442,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
445,Langsa,ID,81.64,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
447,Hailun,CN,82.63,broken clouds,47.45,126.9333,Wanhao Hotel
451,Coahuayana,MX,80.82,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
456,Nhulunbuy,AU,86.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
457,San Patricio,US,86.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
458,Shingu,JP,85.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
460,San Jose,US,79.84,clear sky,37.3394,-121.895,The Westin San Jose
462,Toba,JP,92.28,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
466,Bambanglipuro,ID,82.44,clear sky,-7.95,110.2833,Puri Brata
470,Tommot,RU,75.18,light rain,58.9564,126.2925,Gostinitsa Tommot
473,Naze,JP,77.92,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
476,Weiser,US,95.31,clear sky,44.251,-116.9693,The Colonial Motel
477,Meulaboh,ID,80.94,scattered clouds,4.1363,96.1285,Kost Pria
478,Portland,US,81.55,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
479,Genhe,CN,79.47,overcast clouds,50.7833,121.5167,Companionship Hotel
481,Pochutla,MX,77.88,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
482,Buraydah,SA,91.85,few clouds,26.326,43.975,فندق راحة السلام
483,Pipraich,IN,86.05,scattered clouds,26.8264,83.53,Omkar Nath Vivek Kumar Jwellers
487,Puerto Narino,CO,76.64,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
488,Makakilo City,US,80.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
490,Monywa,MM,79.3,overcast clouds,22.1167,95.1333,Monywa Hotel
492,Sur,OM,91.27,clear sky,22.5667,59.5289,Sur Plaza Hotel
494,Owando,CG,77.4,light rain,-0.4819,15.8999,Exaunel Hotel Owando
496,Nong Chik,TH,83.55,broken clouds,6.8436,101.178,Bakkahland Farm and Resort
497,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
498,Tateyama,JP,91.15,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
499,Huilong,CN,84.97,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
505,Dawei,MM,77.36,moderate rain,14.0833,98.2,Hotel Dawei
506,Japura,ID,84.76,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
511,Marsa Matruh,EG,78.55,clear sky,31.3525,27.2453,Beau Site
513,Pacific Grove,US,79.14,broken clouds,36.6177,-121.9166,Lovers Point Inn
516,Salina,US,84.85,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
517,Elat,IL,81.79,clear sky,29.5581,34.9482,Club Hotel Eilat
518,Pringsewu,ID,80.42,overcast clouds,-5.3582,104.9744,Urban Style by Front One
519,Celestun,MX,82.9,clear sky,20.8667,-90.4,Posada Lilia
520,Sawakin,SD,90.0,overcast clouds,19.1059,37.3321,فندق الدويم
521,Tazmalt,DZ,82.83,clear sky,36.3868,4.3989,Hôtel Numédia
523,Rapid City,US,77.32,broken clouds,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
524,Bocas Del Toro,PA,83.07,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
527,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
529,Heihe,CN,82.98,moderate rain,50.2441,127.4902,Hotel Strannik
531,Sola,VU,80.76,scattered clouds,-13.8833,167.55,Leumerus Bungalows
532,Mingguang,CN,84.42,overcast clouds,32.7802,117.9638,Yonghao Hotel
534,Gimli,CA,82.44,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
535,Sarangani,PH,84.76,few clouds,5.4033,125.4636,Ballistic Islet
536,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
539,Neiafu,TO,78.51,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
542,Santa Rosa,PH,82.11,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
543,Jibuti,DJ,84.65,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
552,Sabha,LY,79.92,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
553,Bela,IN,88.57,scattered clouds,25.9333,81.9833,Raj Bhawan
555,Dumka,IN,83.26,few clouds,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
564,Robertsport,LR,76.15,moderate rain,6.7533,-11.3686,Kwepunha Retreat
568,Ramnagar,IN,79.52,overcast clouds,29.4,79.1167,Leisure Vacation Myrica Hotel
569,Pandan,PH,85.69,moderate rain,14.0453,124.1694,Bonifacio Lodge
572,Birjand,IR,75.27,broken clouds,32.8663,59.2211,Birjand Tourist Hotel
576,Jiangyou,CN,83.21,broken clouds,31.7667,104.7167,Shangping Shuyuan Inn
579,Dickinson,US,87.19,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
580,Tual,ID,76.06,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
589,Evanston,US,79.97,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
592,Moju,BR,75.22,broken clouds,-1.8839,-48.7689,HOTEL MARTINS
595,Kerrville,US,75.54,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
598,Fort Dodge,US,77.43,clear sky,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
602,Boyolangu,ID,81.07,scattered clouds,-8.1181,111.8935,Yos ega cv
611,Sokoto,NG,80.87,few clouds,13.0609,5.239,Shukura Coral Hotel
613,Nanfeng,CN,90.68,clear sky,23.7434,111.7959,Nanfeng Hotel
