City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
161,Orsha,54.5153,30.4053,53.87,82,2,7.63,BY,2021-07-23 02:07:43,clear sky
162,Floro,61.5996,5.0328,53.56,94,3,3.44,NO,2021-07-23 02:07:43,clear sky
163,Monterey,36.2505,-121.2516,72.84,32,83,11.77,US,2021-07-23 02:07:44,broken clouds
164,Korgen,66.0771,13.8153,50.31,94,99,4.21,NO,2021-07-23 02:07:44,overcast clouds
165,Labytnangi,66.6572,66.4183,52.5,55,95,4.9,RU,2021-07-23 02:07:45,overcast clouds
166,Dakar,14.6937,-17.4441,77.88,79,13,16.44,SN,2021-07-23 02:06:13,few clouds
167,Sogne,58.0833,7.8167,59.7,1,0,3.0,NO,2021-07-23 02:07:45,clear sky
168,Lima,-12.0432,-77.0282,61.9,84,90,9.22,PE,2021-07-23 02:07:46,overcast clouds
169,Parrita,9.5201,-84.3225,83.26,94,100,3.47,CR,2021-07-23 02:07:46,light rain
170,Aklavik,68.2191,-135.0107,61.86,54,45,18.61,CA,2021-07-23 02:07:47,scattered clouds
171,Riyadh,24.6877,46.7219,93.11,34,87,16.96,SA,2021-07-23 02:03:06,overcast clouds
172,Tuktoyaktuk,69.4541,-133.0374,46.0,83,46,19.13,CA,2021-07-23 02:07:47,scattered clouds
173,Aban,56.67,96.06,68.09,59,23,2.68,RU,2021-07-23 02:07:48,few clouds
174,Pangkalanbuun,-2.6833,111.6167,84.54,67,94,3.6,ID,2021-07-23 02:07:48,light rain
175,Salinas,36.6777,-121.6555,79.23,75,90,13.8,US,2021-07-23 02:07:48,overcast clouds
176,Geraldton,-28.7667,114.6,59.41,94,90,13.8,AU,2021-07-23 02:07:49,overcast clouds
177,Tautira,-17.7333,-149.15,84.22,68,2,11.14,PF,2021-07-23 02:07:49,clear sky
178,Somerset,40.5668,-74.5496,77.05,76,1,1.01,US,2021-07-23 02:07:50,clear sky
